adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/1CKntz5l7oblq2RYligHHvY64sh.jpg,,8000000,"Action , Horror",,485415,tt3053228,en,Day of the Dead: Bloodline,"In a world overrun by zombies, military personnel and survivalists live in an underground bunker while they seek a cure.",34.411,/3jM4C1wJxHLWlF4tcSyyv6fnJPR.jpg,Nu Boyana Film Studios,"United States of America , Bulgaria",2017-12-29,0,90,English,Released,Join the undying war.,Day of the Dead: Bloodline,False,4.659,531
False,/icvgQHxrKEDx92VQ5WHiEmEAUKH.jpg,,10000000,"Thriller , Horror , Science Fiction",,11336,tt0085407,en,The Dead Zone,"Johnny Smith is a schoolteacher with his whole life ahead of him but, after leaving his fiancee's home one night, is involved in a car crash which leaves him in a coma for 5 years. When he wakes, he discovers he has an ability to see into the past, present and future life of anyone with whom he comes into physical contact.",19.145,/9yTVaeS8eIkOpbwIycVFm7EQrgF.jpg,"Lorimar Film Entertainment , Dino De Laurentiis Company","Canada , United States of America",1983-10-21,20766616,103,"English , Pусский",Released,"In his mind, he has the power to see the future. In his hands, he has the power to change it.",The Dead Zone,False,7.022,1274
False,/vMeIYrazqkcESPW7IGAUXbnKbzI.jpg,Dirty Harry Collection,20000000,"Action , Crime , Thriller",,10651,tt0094963,en,The Dead Pool,"Dirty Harry Callahan returns for his final film adventure. Together with his partner Al Quan, he must investigate the systematic murder of actors and musicians. By the time Harry learns that the murders are a part of a sick game to predict the deaths of celebrities before they happen, it may be too late...",16.263,/mqwGpW0Ptrvz1GmfCnLAOA4cQ8g.jpg,"Malpaso Productions , Warner Bros. Pictures",United States of America,1988-04-14,37903295,91,English,Released,Dirty Harry Just Learned A New Game.,The Dead Pool,False,6.277,670
False,/bTvc9hzculIuScIZwWz4faa4dOu.jpg,Living Dead Collection,3500000,"Horror , Thriller , Drama , Mystery",,8408,tt0088993,en,Day of the Dead,"Trapped in a missile silo, a small team of scientists, civilians, and trigger-happy soldiers battle desperately to ensure the survival of the human race. However, the tension inside the base is reaching a breaking point, and the zombies are gathering outside.",20.545,/jj0kxhH02baF3TMSW5pfWXvaZpQ.jpg,"Laurel Entertainment , Voltage Pictures , United Film Distribution Company (UFDC)",United States of America,1985-07-03,34000000,101,English,Released,The darkest day of horror the world has ever known.,Day of the Dead,False,7.015,977
False,/oPkj9bfepFFyzekcCn0YIK0hUGB.jpg,Living Dead Collection,15000000,"Horror , Thriller , Science Fiction",,11683,tt0418819,en,Land of the Dead,"The world is full of zombies and the survivors have barricaded themselves inside a walled city to keep out the living dead. As the wealthy hide out in skyscrapers and chaos rules the streets, the rest of the survivors must find a way to stop the evolving zombies from breaking into the city.",19.715,/34rdmEgsFRDOm8LNDsNkkj0qVlL.jpg,"Universal Pictures , Wild Bunch , Atmosphere Entertainment MM , Ontario Media Development Corporation (OMDC) , Romero-Grunwald Productions , Rangerkim","Canada , United States of America , France",2005-06-18,47074133,93,"English , Français ,  , Italiano , Polski , Español",Released,The dead shall inherit the Earth.,Land of the Dead,False,6.172,1292
False,/377E9KSoUGxKWuvyR1Zu9aXcU4I.jpg,Evil Dead Collection,350000,Horror,,764,tt0083907,en,The Evil Dead,"When a group of college students finds a mysterious book and recording in the old wilderness cabin they've rented for the weekend, they unwittingly unleash a demonic force from the surrounding forest.",79.757,/li05U702n3FzwX2mYtjDBVzeWio.jpg,"New Line Cinema , Renaissance Pictures",United States of America,1981-09-10,29400000,85,English,Released,The Ultimate Experience In Grueling Terror,The Evil Dead,False,7.311,3129
False,/my7iRgEZyvw7GO09vUJ06fe5oO3.jpg,Survival of the Dead Collection,4000000,"Comedy , Horror , Thriller",http://magnetreleasing.com/survivalofthedead/,29426,tt1134854,en,Survival of the Dead,"On an island off the coast of North America, local residents simultaneously fight a zombie epidemic while hoping for a cure to return their un-dead relatives back to their human state.",16.81,/abJiDooakUefaStfGBShm0I3ENc.jpg,"Devonshire Productions , New Romero , Sudden Storm Productions , Blank of the Dead Productions","Canada , United States of America",2010-05-06,0,90,English,Released,Death isn't what it used to be.,Survival of the Dead,False,4.872,378
False,/k1sIdEiCYVOgcmpAuap9AAguJwo.jpg,,18000000,Horror,,13613,tt0489018,en,Day of the Dead,"When a small Colorado town is overrun by the flesh hungry dead, a small group of survivors try to escape in a last ditch effort to stay alive.",17.506,/vhVA9ijkqzWlXp6vTpgoXbzXGpx.jpg,"Nu Image , Millennium Films , Taurus Entertainment Company , EFO Films , D.O.D. Productions",United States of America,2008-04-08,0,86,English,Released,D-Day Is Coming.,Day of the Dead,False,5.223,307
False,/wW2binZ7EVPGy5gEsIoMKICckcQ.jpg,,8500000,"Mystery , Drama , Romance",,37722,tt0127349,en,Waking the Dead,"A congressional candidate questions his sanity after seeing the love of his life, presumed dead, suddenly emerge.",11.799,/wC4MSw7MYYDIhkcgw1lZui0kzur.jpg,"Gramercy Pictures , Egg Pictures , PolyGram Filmed Entertainment","Canada , United States of America",2000-03-24,327418,105,English,Released,Sometimes love has a life of it's own.,Waking the Dead,False,6.2,73
False,/nl099IgJQdJcTBuXmIzouWXK929.jpg,,32000000,"Western , Action , Thriller",,12106,tt0114214,en,The Quick and the Dead,"A mysterious woman comes to compete in a quick-draw elimination tournament, in a town taken over by a notorious gunman.",21.138,/jhEmrXJpP6F3cqwyLjvgBgxxxFA.jpg,"TriStar Pictures , IndieProd Company Productions","Japan , United States of America",1995-02-09,18636537,107,"English , Español",Released,Think you are quick enough?,The Quick and the Dead,False,6.504,1400
False,/jyRk8ykqLOXaVadZ0aWRDd89gMP.jpg,Evil Dead Collection,3500000,"Horror , Comedy , Fantasy",,765,tt0092991,en,Evil Dead II,"Ash Williams and his girlfriend Linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""The Book of the Dead."" As they play the recording an evil power is unleashed taking over Linda's body.",46.368,/4zqCKJVHUolGs6C5AZwAZqLWixW.jpg,"Renaissance Pictures , Dino De Laurentiis Company , Rosebud Releasing Corporation",United States of America,1987-03-13,10900000,84,English,Released,,Evil Dead II,False,7.558,2452
